FOOD_CODE,FOOD_NAME,ENERGY
D010319,폭폭치즈L(바삭한 크런치),372
D010320,얌얌페페로니L(쫄깃한 클래식),343
D010321,얌얌페페로니L(바삭한 크런치),343
D010322,씨푸드아일랜드 노엣지 R,265
D010323,씨푸드아일랜드 해쉬브라운R,311
D010324,씨푸드아일랜드 골드R,300
D010325,씨푸드아일랜드 크림치즈R,309
D010326,씨푸드아일랜드 에그타르트R,306
D010327,씨푸드아일랜드 치즈캡 R,297
D010328,씨푸드아일랜드 노엣지 L,341
D010329,씨푸드아일랜드 해쉬브라운 L,396
D010330,씨푸드아일랜드 골드L,383
D010331,씨푸드아일랜드 크림치즈 L,394
D010332,씨푸드아일랜드 에그타르트 L,390
D010333,씨푸드아일랜드 치즈캡 L,374
D010334,제주흑도새기 노엣지 R,454
D010335,제주흑도새기 해쉬브라운R,273
D010336,제주흑도새기 골드R,262
D010337,제주흑도새기 크림치즈R,271
D010338,제주흑도새기 에그타르트R,268
D010339,제주흑도새기 치즈캡 R,259
D010340,제주흑도새기 노엣지 L,296
D010341,제주흑도새기 해쉬브라운 L,352
D010342,제주흑도새기 골드L,339
D010343,제주흑도새기 크림치즈 L,350
D010344,제주흑도새기 에그타르트 L,346
D010345,제주흑도새기 치즈캡 L,329
D010346,치즈블라썸 스테이크 노엣지 R,510
D010347,치즈블라썸 스테이크 해쉬브라운R,301
D010348,치즈블라썸 스테이크 골드R,289
D010349,치즈블라썸 스테이크 크림치즈R,299
D010350,치즈블라썸 스테이크 에그타르트R,296
D010351,치즈블라썸 스테이크 치즈캡 R,262
D010352,치즈블라썸 스테이크 노엣지 L,321
D010353,치즈블라썸 스테이크 해쉬브라운 L,377
D010354,치즈블라썸 스테이크 골드L,364
D010355,치즈블라썸 스테이크 크림치즈 L,375
D010356,치즈블라썸 스테이크 에그타르트 L,371
D010357,치즈블라썸 스테이크 치즈캡 L,354
D010358,새우천왕 노엣지(오리진)R,435
D010359,새우천왕 치즈캡R,499
D010360,새우천왕 해쉬브라운R,233
D010361,새우천왕 에그타르트R,231
D010362,새우천왕 골드R,231
D010363,새우천왕 크림치즈R,234
D010364,새우천왕 노엣지(오리진)L,278
D010365,새우천왕 치즈캡L,311
D010366,새우천왕 해쉬브라운L,334
D010367,새우천왕 에그타르트L,327
D010368,새우천왕 골드L,320
D010369,새우천왕 크림치즈L,332
D010370,치우천왕 오리진R,450
D010371,치우천왕 치즈캡R,454
D010372,치우천왕 해쉬브라운R,481
D010373,치우천왕 에그타르트R,472
D010374,치우천왕 골드R,459
D010375,치우천왕 크림치즈R,477
D010376,치우천왕 노엣지L,265
D010377,치우천왕 치즈캡L,298
D010378,치우천왕 해쉬브라운L,321
D010379,치우천왕 에그타르트L,314
D010380,치우천왕 골드L,307
D010381,치우천왕 크림치즈L,319
D010382,트레비앙 해쉬브라운R,523
D010383,트레비앙 에그타르트R,514
D010384,트레비앙 오리진R,431
D010385,트레비앙 골드R,500
D010386,트레비앙 크림치즈R,519
D010387,트레비앙 치즈캡R,495
D010388,트레비앙 해쉬브라운L,348
D010389,트레비앙 에그타르트L,342
D010390,트레비앙 오리진L,292
D010391,트레비앙 골드L,335
D010392,트레비앙 크림치즈L,346
D010393,트레비앙 치즈캡L,325
D010394,러블리피스 해쉬브라운R,510
D010395,러블리피스 에그타르트R,501
D010396,러블리피스 오리진R,419
D010397,러블리피스 골드R,488
D010398,러블리피스 크림치즈R,253
D010399,러블리피스 치즈캡R,483
D010400,러블리피스 해쉬브라운L,308
D010401,러블리피스 에그타르트L,302
D010402,러블리피스 오리진L,253
D010403,러블리피스 골드L,295
D010404,러블리피스 크림치즈L,306
D010405,러블리피스 치즈캡L,286
D010406,스윗피스 해쉬브라운R,549
D010407,스윗피스 에그타르트R,540
D010408,스윗피스 오리진R,458
D010409,스윗피스 골드R,527
D010410,스윗피스 크림치즈R,545
D010411,스윗피스 치즈캡R,522
D010412,스윗피스 해쉬브라운L,376
D010413,스윗피스 에그타르트L,370
D010414,스윗피스 오리진L,320
D010415,스윗피스 골드L,363
D010416,스윗피스 크림치즈L,374
D010417,스윗피스 치즈캡L,353
D010418,로맨틱콤보 해쉬브라운R,530
D010419,로맨틱콤보 에그타르트R,521
D010420,로맨틱콤보 오리진R,438
D010421,로맨틱콤보 골드R,507
D010422,로맨틱콤보 크림치즈R,526
D010423,로맨틱콤보 치즈캡R,502
D010424,로맨틱콤보 해쉬브라운L,342
D010425,로맨틱콤보 에그타르트L,336
D010426,로맨틱콤보 오리진L,287
D010427,로맨틱콤보 골드L,329
D010428,로맨틱콤보 크림치즈L,340
D010429,로맨틱콤보 치즈캡L,320
D010430,포테이토 해쉬브라운R,436
D010431,포테이토 에그타르트R,427
D010432,포테이토 골드R,414
D010433,포테이토 크림치즈R,432
D010434,포테이토 해쉬브라운L,310
D010435,포테이토 에그타르트L,304
D010436,포테이토 골드L,297
D010437,포테이토 크림치즈L,308
D010438,쉬림프 해쉬브라운R,452
D010439,쉬림프 에그타르트R,442
D010440,쉬림프 오리진R,360
D010441,쉬림프 골드R,429
D010442,쉬림프 크림치즈R,448
D010443,쉬림프 치즈캡R,424
D010444,쉬림프 해쉬브라운L,287
D010445,쉬림프 에그타르트L,281
D010446,쉬림프 오리진L,231
D010447,쉬림프 골드L,273
D010448,쉬림프 크림치즈L,285
D010449,쉬림프 치즈캡L,264
D010450,하프앤하프 해쉬브라운R,444
D010451,하프앤하프 에그타르트R,435
D010452,하프앤하프 골드R,421
D010453,하프앤하프 크림치즈R,440
D010454,하프앤하프 해쉬브라운L,299
D010455,하프앤하프 에그타르트L,292
D010456,하프앤하프 골드L,285
D010457,하프앤하프 크림치즈L,297
D010458,풀드포크 오리진R,403
D010459,풀드포크 오리진L,274
D010460,칠리치킨 오리진R,368
D010461,칠리치킨 오리진L,250
D010462,올댓미트 오리진R,365
D010463,올댓미트 오리진L,413
D010464,트러플머쉬룸 오리진R,383
D010465,트러플머쉬룸 오리진L,515
D010466,부라타치즈 오리진R,372
